StarID	Hip	ProperName	RA	Dec	Mag
68891	95299		19.38793502	-6.58486014	9.66
68895	95304		19.38975038	-65.57876708	7.27
68896	95306	 	19.3899403	50.2712496	6.51
68898	95309		19.39018878	20.56923352	7.91
68906	95319	 	19.39276538	33.22157011	6.37
68907	95320		19.3928296	69.01476142	6.96
68909	95322		19.39358357	-53.94611775	6.62
68910	95323		19.39363257	-15.81231293	7.41
68911	95325		19.39409046	8.66002235	7.05
68912	95326		19.39414831	-39.18916047	12.39
68913	95329		19.3943223	-55.93532381	7.35
68921	95340	 	19.39636882	20.26435487	6.4
68922	95342		19.39660242	39.5903638	7
68923	95343		19.39692652	-17.1957295	7.05
68925	95345		19.39726314	-34.96698077	7.11
68927	95347	 	19.3980976	-40.61564629	3.96
68929	95350		19.3986782	-62.8706832	9.44
68931	95352	 	19.39902462	43.3882371	5.85
68933	95354		19.39943208	32.72367649	6.76
68939	95362		19.40091765	44.93344794	7.01
68940	95363		19.40092843	-6.97730576	7.44
68941	95364		19.40104506	11.44108169	7.42
68943	95369	 	19.40153156	-68.37107984	6.33
68945	95370	 	19.40168073	36.45190293	6.44
68947	95372	 	19.40210326	29.6213112	4.99
68951	95377		19.40276541	39.21175402	7.47
68955	95385		19.40354289	-62.99824562	6.58
68957	95388		19.40500084	31.04732164	7.39
68962	95396	 	19.40595969	-43.7220596	6.13
68964	95398	 	19.40613243	16.93775593	6.27
68965	95400	 	19.40626099	28.08758395	6.53
68967	95402		19.40646613	-9.33828967	7.24
68969	95404		19.4073034	-55.88829453	7.49
68971	95406		19.40764068	12.28285357	7.02
68973	95408	 	19.4083813	-27.86590574	6.03
68980	95417	 	19.40955018	-22.06107741	10.92
68983	95426		19.41153256	-12.61556995	7.23
68985	95428		19.41160799	22.20173004	7.81
68986	95429		19.41168301	8.5503969	11.19
68988	95432		19.41231511	19.93940186	7.16
68991	95435		19.41260732	16.95705708	6.84
68995	95440		19.41403255	-18.61679161	7.47
68997	95445		19.41556532	-44.19477888	6.88
68999	95447	 	19.4160473	11.94285122	5.16
69004	95453	 	19.41708664	-4.88455503	6.5
69007	95456	 	19.41779193	-29.30920884	5.91
69009	95458		19.41864463	-18.56279992	7.02
69016	95467	 	19.41941799	-66.46937115	8.4
69017	95468		19.4194345	-51.10058036	6.88
69022	95477	 	19.42123628	-24.50844892	5.02
69025	95480		19.4217086	37.24527075	6.8
69029	95485	 	19.42265613	-13.89726417	5.72
69030	95486		19.42287237	-24.41209452	7.27
69031	95487	 	19.42288765	20.27176831	6.31
69035	95492	 	19.42385321	24.91430832	6.19
69039	95498	 	19.42459542	19.79853912	5.14
69040	95503	 	19.42490874	-23.96242415	5.45
69041	95501	 	19.42493129	3.11457923	3.36
69043	95505		19.42521807	34.19436934	7.24
69049	95512		19.42750671	26.10400897	7.37
69052	95516		19.42870106	-22.45154127	6.79
69053	95520	 	19.42965751	58.02730984	6.6
69054	95521		19.43000009	28.75943592	7.41
69057	95524		19.43043503	50.85180121	7.36
69063	95532		19.43233366	-49.84267118	6.66
69065	95534		19.43240375	44.9309437	6.68
69068	95537		19.43287091	36.18650834	7.48
69071	95543		19.43367017	45.01307406	7.08
69081	95556	 	19.43586774	36.31786478	5.17
69082	95557	 	19.43639764	-15.05325005	5.71
69085	95560	 	19.43701223	20.09782036	5.6
69089	95564	 	19.43864824	-21.77668185	5.57
69096	95571		19.43974171	-63.2299581	7.91
69097	95572	 	19.44003514	13.02365808	5.76
69098	95574	 	19.44015177	-14.55119316	6.7
69099	95575	 	19.44043718	49.46357557	8.01
69100	95576	 	19.44068239	62.55705286	6.38
69101	95577		19.44101365	-21.24589214	7.01
69104	95582	 	19.44130185	19.89161003	5.84
69105	95584		19.44183302	20.25901017	6.64
69106	95585	 	19.44196935	0.33857566	4.64
69107	95586		19.44218911	11.85100672	6.91
69110	95589		19.44269572	27.3224581	7.46
69118	95603		19.44488261	-46.57889912	6.65
69120	95605		19.44562008	39.96150716	7.42
69123	95608		19.44574102	21.65313192	7.43
69125	95611		19.44663761	50.14531228	7.38
69126	95612		19.4467716	21.16284702	7.36
69132	95619	 	19.44901951	-29.74310537	5.66
69133	95620		19.44909749	12.06208775	7.06
69137	95624		19.44968632	21.10638294	7.14
69145	95641		19.45440446	-34.5468159	10.56
69148	95644		19.45503121	-69.30168517	9.23
69155	95656	 	19.45721404	52.32050263	5.73
69156	95657		19.45737894	18.29590039	6.84
69161	95664	 	19.45941778	14.28249131	6.31
69169	95673	 	19.4601101	37.94120774	6.3
